trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",30,0,-123.35110773374903,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.997}",25,16,-12.140545402314412,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.994}",20,0,-86.95054831455883,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.99}",30,0,-291.7672175674172,"{0: 11, 1: 5, 2: 8, 3: 2, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.985}",20,0,-81.75349987549485,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.979}",30,0,-286.4045162277044,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.972}",20,0,-134.63611782278025,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.964}",25,4,-108.78538631245375,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.955}",30,0,-177.3520374893643,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.945}",25,0,-81.03731262032441,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9339999999999999}",20,14,-3.231034156398665,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.9219999999999999}",20,0,-49.034938488060696,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9089999999999999}",20,9,-46.17690064018322,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.8949999999999999}",25,0,-114.5647791542532,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.8799999999999999}",20,0,-26.399813117169586,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.8639999999999999}",25,0,-178.9371558773876,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8469999999999999}",25,0,-85.93116676267164,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.8289999999999998}",25,0,-202.10691223828354,"{0: 15, 1: 0, 2: 4, 3: 3, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,0,-128.98906808642792,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.7899999999999998}",35,1,-151.245875197664,"{0: 21, 1: 3, 2: 8, 3: 0, 4: 2}",1
21,False,"{'a': 0.5, 'e': 0.7689999999999998}",25,0,-119.15538491849361,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.7469999999999998}",20,10,-31.637923122810687,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.7239999999999998}",20,0,8.350087830777772,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,12,-73.4545147563555,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 2}",1
25,False,"{'a': 0.5, 'e': 0.6749999999999997}",25,0,-81.07760755287302,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.6489999999999997}",25,0,-102.22866126424721,"{0: 18, 1: 1, 2: 2, 3: 3, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.6219999999999997}",20,0,-126.34219238695022,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.5939999999999996}",25,3,-80.2134279223884,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,0,-126.73672529454478,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.5349999999999996}",30,16,-33.31424641723076,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.5039999999999996}",25,3,-91.21846291581657,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 2}",1
32,False,"{'a': 0.5, 'e': 0.47199999999999953}",20,0,-76.53257566277978,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.4389999999999995}",20,0,-24.288653191845537,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.40499999999999947}",30,0,-202.19306332637643,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 5}",0
35,False,"{'a': 0.5, 'e': 0.36999999999999944}",20,7,-23.281708999533464,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.3339999999999994}",25,15,3.8605689097892952,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.29699999999999943}",25,8,-36.22375164887814,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
38,False,"{'a': 0.5, 'e': 0.25899999999999945}",30,0,-200.98677628610142,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
39,False,"{'a': 0.5, 'e': 0.21999999999999945}",20,0,-16.340149064057513,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.17999999999999944}",20,5,-40.11033121250635,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.13899999999999943}",25,3,-74.08830473720708,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 2}",1
42,False,"{'a': 0.5, 'e': 0.09699999999999942}",30,0,12.11442511776114,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.053999999999999417}",20,0,-11.703155700871482,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.009999999999999419}",25,8,-42.85071510144681,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
