trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999875000260416}",30,0,-186.84331802238245,"{0: 16, 1: 1, 2: 10, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9999500004166653}",20,0,-132.86299085705753,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-85.70079936878864,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9998000066665778}",25,0,-98.72548158842048,"{0: 16, 1: 5, 2: 1, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9996875162757026}",20,0,-144.44919756542268,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9995500337489875}",25,0,-61.49420405161703,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9993875625234886}",25,0,-135.1960402672743,"{0: 18, 1: 3, 2: 0, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-79.76835681294229,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9989876708478425}",30,0,-99.53956413432202,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9987502603949663}",25,0,-108.65489791877818,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9984878812375985}",25,0,-108.00282168021045,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,0,-9.086836267545841,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.9978882436713011}",20,0,-142.16785125738616,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9975510002532796}",25,0,-136.48181379928062,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9971888181122075}",20,0,-73.10129595887939,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9968017063026194}",20,0,-111.76353227548557,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9963896745022904}",20,0,-149.28041466416693,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9959527330119943}",20,0,-93.27936453727906,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9954908927552453}",20,0,-151.18351958262497,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9950041652780257}",30,0,-96.54380014618968,"{0: 19, 1: 4, 2: 4, 3: 3, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9944925627484974}",25,0,-95.70528494765445,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9939560979566968}",30,0,-242.4511366688746,"{0: 15, 1: 1, 2: 9, 3: 2, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.9933947843142158}",20,0,-84.43101101247886,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.9928086358538663}",25,0,-73.70332736189916,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.992197667229329}",25,0,-64.25623855874542,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9915618937147881}",20,0,-82.67662177109234,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.9909013312045479}",25,0,-212.6065185934349,"{0: 11, 1: 2, 2: 8, 3: 1, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.9902159962126371}",25,0,-178.13411755770005,"{0: 12, 1: 6, 2: 2, 3: 3, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9895059058723947}",25,0,-182.60920817354204,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9887710779360422}",20,0,-71.65227953571835,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.9880115307742399}",20,0,-49.76089903337125,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9872272833756269}",20,0,-78.81966274977155,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.9864183553463477}",30,0,-219.45197568721227,"{0: 14, 1: 6, 2: 5, 3: 2, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.9855847669095608}",25,0,-81.83162579157,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9847265389049334}",20,0,-31.242096275338433,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.9838436927881214}",25,0,-138.8374703671219,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.9829362506302315}",25,0,-89.85633211786737,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9820042351172703}",30,0,-194.82496466081543,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.9810476695495772}",20,4,-29.95503736075046,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.9800665778412416}",25,0,-138.9982057429582,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.9790609845195051}",35,0,-245.1839217808647,"{0: 20, 1: 2, 2: 8, 3: 1, 4: 4}",0
42,False,"{'a': 0.5, 'e': 0.9780309147241483}",35,0,-163.9933470224159,"{0: 24, 1: 1, 2: 7, 3: 0, 4: 3}",0
43,False,"{'a': 0.5, 'e': 0.9769763942068623}",25,0,-123.8223876696903,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.9758974493306055}",25,0,-93.66149179832941,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9747941070689433}",30,0,-122.98525378518536,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.9736663950053749}",25,0,-149.74799368246852,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.972514341332643}",20,0,-76.76850240225752,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.9713379748520297}",20,0,-98.07408152954869,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9701373249726354}",25,0,-50.81147753588525,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.9689124217106447}",30,0,-76.98319482911884,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.9676632956885756}",30,0,-320.5735498079389,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 7}",0
52,False,"{'a': 0.5, 'e': 0.9663899781345132}",20,0,-86.7388783374253,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.9650925008813303}",25,0,-182.1609114581206,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
54,False,"{'a': 0.5, 'e': 0.9637708963658905}",30,16,-75.35600991783906,"{0: 6, 1: 2, 2: 5, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.962425197628238}",30,0,-157.9539685467805,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.9610554383107709}",20,0,-92.92304224762174,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.9596616526574011}",30,0,-116.27038388451528,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
58,False,"{'a': 0.5, 'e': 0.9582438755126972}",20,0,-62.51026074491121,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9568021423210139}",20,0,-93.36904434175528,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.955336489125606}",20,0,-65.41608849311594,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.9538469525677271}",20,0,-79.97400788298799,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
62,False,"{'a': 0.5, 'e': 0.9523335698857134}",25,0,-191.46705777349945,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
63,False,"{'a': 0.5, 'e': 0.9507963789140532}",20,0,-138.80195517970725,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",1
64,False,"{'a': 0.5, 'e': 0.9492354180824408}",25,0,-226.06675258282957,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
65,False,"{'a': 0.5, 'e': 0.9476507264148157}",20,0,-102.92646201161203,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.946042343528387}",35,0,-81.722812332395,"{0: 25, 1: 3, 2: 6, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.944410309632643}",25,0,-94.10614250849055,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.9427546655283462}",25,0,-160.20646590311367,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
69,False,"{'a': 0.5, 'e': 0.941075452606513}",20,0,-153.303427892192,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
70,False,"{'a': 0.5, 'e': 0.9393727128473789}",20,0,-131.78535059456814,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.9376464888193493}",20,0,-136.84310051200453,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.9358968236779348}",20,0,-91.60867231544034,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.9341237611646731}",20,0,-101.68787305913675,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.9323273456060345}",35,0,-241.8637200466568,"{0: 18, 1: 4, 2: 8, 3: 2, 4: 3}",0
75,False,"{'a': 0.5, 'e': 0.9305076219123143}",30,0,-160.56086639108167,"{0: 17, 1: 2, 2: 7, 3: 3, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9286646355765102}",20,0,-123.23282491857431,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",1
77,False,"{'a': 0.5, 'e': 0.9267984326731847}",20,0,-127.34953661598519,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.9249090598573131}",35,0,-258.0761572522133,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 5}",0
79,False,"{'a': 0.5, 'e': 0.9229965643631173}",20,0,-82.50390169033045,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.9210609940028851}",20,0,-115.5109879446847,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.9191023971657747}",25,0,-64.47992224931996,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9171208228166051}",25,0,-135.2023607511919,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.9151163204946318}",20,0,-92.82407039365411,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.9130889403123083}",25,0,-138.98431348555948,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
85,False,"{'a': 0.5, 'e': 0.9110387329540337}",20,0,-30.89026585571564,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.9089657496748851}",25,0,-41.52099513689458,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.9068700422993367}",20,0,-145.9723927323094,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
88,False,"{'a': 0.5, 'e': 0.9047516632199635}",30,0,-142.60743148219032,"{0: 17, 1: 5, 2: 4, 3: 3, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.9026106653961321}",20,0,-40.49058337426316,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.9004471023526769}",25,0,-221.0023878682298,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 5}",0
91,False,"{'a': 0.5, 'e': 0.8982610281785611}",25,0,-159.0941363098789,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 4}",0
92,False,"{'a': 0.5, 'e': 0.8960524975255253}",20,0,-156.35558253236968,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
93,False,"{'a': 0.5, 'e': 0.8938215656067205}",20,0,-106.26355534508059,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.8915682881953289}",20,0,-77.370100171803,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
