trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-30.14503215953547,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-159.13822655262487,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-108.0636187658005,"{0: 15, 1: 0, 2: 8, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-181.57911660851445,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.52412691065003,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.67228738645276,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.16941818446568,"{0: 12, 1: 9, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.32137087801186,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.98918927544727,"{0: 11, 1: 7, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.43381005752951,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.6105241255539,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-112.2576785249408,"{0: 23, 1: 6, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.86808790738037,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-169.2602882677616,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.08908950260572,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.41654376275592,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.35791059976358,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-213.18259020882832,"{0: 10, 1: 3, 2: 9, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.4995225668071,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-282.6269322665329,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 5}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-163.68627158246957,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-203.065735858778,"{0: 9, 1: 2, 2: 10, 3: 3, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,1,-161.34682756832245,"{0: 11, 1: 1, 2: 9, 3: 2, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-58.39306976711225,"{0: 16, 1: 6, 2: 2, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-108.81252585355851,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.00794522050036,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-250.0580531917499,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 6}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-148.33117093780524,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-87.31210482688051,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-140.1248461679047,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
